Selling_Price,predicted_target,percentage_difference
300000,355400.0,18.46666666666667
400000,407700.0,1.925
815000,814949.84,0.006154601226997865
550000,548089.99,0.3472745454545471
100000,105999.85,5.999850000000006
138000,188199.99,36.37680434782608
325000,298020.0,8.301538461538462
160000,136593.3333333333,14.629166666666679
400000,388000.0,3.0
150000,209899.98,39.93332000000001
300000,343300.0,14.433333333333334
802000,751429.98,6.305488778054865
555000,550916.6666666666,0.7357357357357428
470000,447899.99,4.702129787234044
400000,380199.98,4.950005000000004
110000,125700.0,14.272727272727273
349000,395340.0,13.277936962750717
300000,329329.9,9.776633333333342
350000,448300.0,28.085714285714285
425000,450816.6566666666,6.074507450980381
