Selling_Price,predicted_target,percentage_difference
300000,368730.0,22.91
400000,384689.99,3.8275025000000027
130000,158799.94,22.1538
409999,395039.36,3.648701582198984
500000,564210.0,12.842
850000,777199.97,8.56470941176471
300000,340679.99,13.559996666666663
525000,505699.97,3.6761961904761957
125000,143490.0,14.792
130000,118614.28571428571,8.75824175824176
60000,88250.0,47.083333333333336
200000,185389.99,7.305005000000005
500000,502150.0,0.43
260000,250949.99,3.4807730769230805
100000,94897.85714285713,5.102142857142869
145000,148006.66666666666,2.073563218390798
500000,614989.97,22.997993999999995
340000,337260.0,0.8058823529411764
525000,535999.99,2.0952361904761885
520000,685420.0,31.811538461538465
